WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Open Data Forums,The city has an Open Data portal.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Internal Data Visualizations,The city publsihes data visualizations for employees to inform the day to day execution of their responsibiliies.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Internal Data Visualizations,"C8. Publishes city progress on city goals annually or more frequently (e.g., annual report, update to city’s strategic plan, etc.)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,The city routinely make resource/budgeting decisions in meetings which are infused with the analysis of data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,Ensure sufficient funding for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,"A5. Redirects budget allocations for citywide policies, program areas, or multi agency initiatives based in part on their measurable impact (i.e.,moving funds away from ineffective policies or programs and towards programs that demonstrate better results)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Sustainment Strategies,Sustainment Strategies,"The city's STAT program or other high visibility, data driven, decision making venue has existed for more than one political administration.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Strategic Framework,Strategic Framework,The city has a strategic plan which explicitely includes language about leveraging data to make decisions as an organization.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,The city has an ordinance passed by city council on Open Data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Reference and build on existing public accountability and access policies,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Stipulate that provisions apply to contractors or quasi governmental agencies,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Create guidance or other binding regulations for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Mandate future review for potential changes to this policy,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),The city has an executive order signed by the chief executive on Open Data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),C9. Has an Open Data policy,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,STAT Executive Order Examples & Chart,The city has an Executive order establishing a STAT or STAT like program,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Sample Performance Management Resolution,The city's legislative branch has passed a resolution or ordinance establishing performance management requirements for the city.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Diagnostic Tools,"The city has engaged in demonstrable efforts (i.e. focus groups, consutling reviews, surveys) to understand its own culture.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Change Resources,The city has explicitely referenced a desire to change or shape its own culture toward one more adept with data and analysis.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,Employee Evaluations   Linkage to Goals,"City employees are evaluated using a tool or framework which connects their own performance to that of their respective programs, departments, and the city writ large.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,Employee Recognition,City employees are routinely recognized for their contributions to improving government.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication","The city leverages multiple channels to engage its employees (listening sessions, internal communications, feedback sessions, high participation rates in activities)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication",Awareness and use of the open data portal is fostered within agencies/departments,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication",C6. Involves internal stakeholders in goal setting,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,The city captures its own best practices and communicates about them.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,Open data success stories are routinely shared with the media and on social media,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"New, recently updated, or important datasets are routinely highlighted",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"Stories, links to stories, or links to work done based upon open data are routinely provided",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,The city actively pushes its own example of data driven practices to the press/media.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"City leaders routinely reference public data in press releases, interviews, presentations or public speeches",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,C1. The mayor or chief executive cites data when speaking publicly about progress towards city goals,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"A6. In public remarks (or public materials), the mayor or chief executive explains how any change in funding between vendors or programs was driven by data and evidence",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Competency,Creating a Data & Analysis Literate Workforce,The city either directly provides or dedicates budget resources for purchasing employee training on data/analytics.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Competency,Assessing Your Own Capabilities,"The city has a mechanism to assess the mathematical, statistical, and computer science capabilites of its own workforce.",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"The city has selected specific performance measures as ""Key Performance Indicators"" to highlight and visit on a routine basis.",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"C5. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one publicly stated strategic goal",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","The city leverages a ""family of measures"" to monitor the progress toward each goal statement",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M1. Collects key output indicators (outputs are interim data points that indicate progress towards a city priority or goal; e.g., number of trees planted in city fiscal year)",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M2. Collects key outcome indicators (outcomes are final data points that indicate concrete progress made towards a city priority or goal; e.g., reduction in unemployment rate; previously unemployed maintain jobs for 12 months)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The city has conducted (and publsihed) a complete data inventory.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,"Create a public, comprehensive list of all information holdings",,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The data inventory is routinely reviewed and public data releases are prioritized,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Optimize methods of data collection,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Data is kept up to date without human interaction (re: Sunlight #22),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Leveraging External Sources,"Data from key partners with overlapping equities (e.g. school districts, utilities, counties, states, feds)","The city routinely leverages data from external stakeholders (E.g. school districts, utilities, counties, states, feds) to enhance the quality of its own analysis.",,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Leveraging Multiple Formats,"Data from web, databases, APIs",The city demonstrates the in house ability to leverage open source data through APIs to enhance the quality of its analysis.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Advancement Guide,,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Getting Started Guide,Publish bulk data,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Charge data creating agencies with recommending an appropriate citation form,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Require publishing metadata,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Metadata is compatible with project open data / DCAT (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,References to 3rd party specifications (e.g. civic data standards) are included if relevant,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,M9. Has an Open Data portal,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a useful search feature (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a data.json feed (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,A one stop data discovery mechanism exists when the jurisdiction operates multiple open data sites (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Value level metadata is available and maintained (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Column level metadata is available and maintained (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,"This mechanism also includes parent jurisdiction data such as county, state, and federal (see Sunlight #18)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Licensing Standards,Mandate data be explicitly license free,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Creating a broader management strategy for Open Data,The city has published a management strategy for Open Data,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Non Open Data,Non Open Data,The city demonstrates the ability to properly deal with sensitive data using the right security and protection procedures.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,The city has established data governance to manage data as an enterprise assett and designated participants routinely attend,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,Governance body meets at least once a month,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,"M10. Has a structured process for releasing data as part of an Open Data program (e.g., defined roles and responsibilities, governance plan, and/or governance committee)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to you,The city routinely compares its current performance to past performance.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,The city routine compares its current and past performance to that of other comparable jurisdictions.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,TS3. Measures and compares performance in core areas against external benchmarks,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,The city leverages existing (or publishes its own) data standards for the enterprise.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Mandate data formats for maximal technical access.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Provide comprehensive and appropriate formats for varied uses,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,"Implementation Guidance (Sunlight #24) defines standards for common data elements to keep them consistent across different datasets (e.g. addresses, date formats, geospatial projections)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Civic data specifications are used (if they exist) (similar to Sunlight #8),,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"The city demonstrates that city contracts are routinely evaluated based on performance, and that adverse contracting actions result from underperformance.",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M4. Identifies goals for key procurements (including grants and contracts), specifies measurable outcomes, and aligns procurement strategy, including the selection of competition strategy, contract structure, and requirements, with goals (goals should describe what the city is seeking to accomplish through the procurement and why the city needs to purchase the good or service)",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M5. Contracts include performance incentives (e.g., selecting the right contract structure, providing rewards for good performance, reducing payment for underperformance, shrinking future contracts)",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M6. Has systems in place to measure outcomes, impacts, and/or cost effectiveness of key procurements",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,TS6. Monitors outcomes specified in contracts,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,TS7. Reviews outcome data specified in contracts with contractors during the contract term,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"TS8. At the end of a contract term, systematically reviews and assesses contractor performance",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"TS9. Compares relative performance across service providers (i.e., agency staff reviews performance of all vendors for a particular service)",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"A2. Uses performance data to manage ongoing contracts, including detecting issues in real time and implementing mid course corrections as needed",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,A3. Makes contracting decisions based with consideration of past performance of vendor(s),,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","The city routinely leverages external stakeholders (CFA brigades, coalitions, advocates) for co problem solving.",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Incorporate public perspectives into policy implementation,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Create or explore potential partnerships,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Agency/department representatives discuss available data with industry/domain representatives (re: Sunlight #30),,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","City representatives regularly attend local ""civic hacker"" meetings (CfA Brigades, etc)",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",The jurisdiction actively participates in the development & evolution of civic data specifications,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",C7. Involves external stakeholders in goal setting,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","TS5. Collaborates with researchers (e.g., university partners or research firms) to design or conduct empirical assessments of programs/service delivery",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","A7. Actively and successfully facilitates the creative and valuable use of data by residents and entrepreneurs (e.g., public events, prizes, competitions, hackathons, developing apps for the public)",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Doing what works,Finding best practices,"The city can cite at least three examples of implementing a program or service change based on a ""best practice"" in another jurisdiction.",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Stopping bad practices,Finding bad practices,The city can cite at least one example of NOT trying something because it was deemed a bad or ineffective practice in another jurisdiction.,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Stopping bad practices,Knowing when your practices are bad,"The city can cite at least three examples of stopping a program or service that, based on analysis of evidence, was not working.",,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Going first (taking a risk),Influencing Behavior through new approaches,The city can cite at least one example of trying an unprecedented action based on a belief it might work and and absence of evidence it wouldn't work.,,,,,,,,,,,,,,,
Act,Take Informed Action,How to take informed action,Applying the right resources to the problem,Applying the right resources to the problem,The city makes resource decisions which are based on precice calculations and derived from thorough analysis.,,,,,,,,,,,,,,,
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,The city can cite three examples of adjusting previous decisions based on new data and analysis (taking stock).,,,,,,,,,,,,,,,
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,Web site and dataset usage statistics are routinely reviewed to aid in prioritization,,,,,,,,,,,,,,,
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,A1. Modifies the delivery of existing programs based on the review of their results in performance management meetings or through a benchmarking analysis,,,,,,,,,,,,,,,
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,A4. Modifies the delivery of existing programs (contracted or agency administered) based on evaluation results,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify the right skills,Identify the right skills,"The city has job descriptions which explicitely list data science skillsets in mathematics, statistics, computer science, communications, and general critical thinking.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,STAT Analyst Job Description,The city has speciic job descriptions for a STAT Director and/or STAT analysts.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Open Data Analyst Job Description,The city has speciic job descriptions for an Open Data Director and/or Open Data analysts.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Where to Look for Talent,The city proactively lists data and analytics related job postings with organizations that have relevent expertise and broad reach into top talent.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Chief Data Officer Job Description (Nicklin),The city has a Chief Data Officer or has a speciic job descriptions for a Chief Data Officer.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Chief Data Officer Job Description (Nicklin),Create or appoint oversight authority,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Open Data Program Manager Job Description (Sheila   Cambridge),The city has an Open Data Program Manager or has a speciic job descriptions for an Open Data Program Manager.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,High Yield Recruitment,Open Data Program Manager Job Description (Sheila   Cambridge),M11. Has designated a person or team responsible for Open Data,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Building effective teams,Building effective teams,"The city has more than one person advancing the practices of data, analytics, and performance management internally.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Building effective teams,Building effective teams,"M13. Has staff dedicated to data analysis (e.g., data analytics staff, performance management staff, evaluation staff, Chief Data Officer, etc.)",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Retention,Retention,The city demonstrates the ability to retain data analysts for longer than two years.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Identify existing talent,The city has created an informal network of analysts from an existing pool of talent across the city.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Finding open data and performance management coordinators internally,"The city has designated open data, data governance, performance management, or analytics coordinators across the government.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Finding open data and performance management coordinators internally,Every agency/department has designated an open data liaison,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Performance Management Platform Recommendations,The city publishes its performance data on an interactive virtual platform.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Statistical Tools,"The city enables the utilization of (i.e. Stata, SPSS, R, Matlab, Minitab, SAS) by employees.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Geospatial Tools,"The city enables the utilization of GIS software (i.e. AutoCAD, Esri, Mapinfo, etc) by employees.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Data Visualization Tools,"The city enables the utilization of data visualization software (i.e. Tableau, Qlikview, Socrata, R) by employees.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Data Management Tools,"The city enables the utilization of data management software (e.g. Access, MySQL, Hadoop, NoSQL) for employees.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Exploration Tools,"The city enables the utilization of data exploration software (e.g. Excel, MySQL, R, Tableau, Pentaho) for employees.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Programming Tools,"The city enables employees to conduct data analysis using computer programming through Java, R, Python, C, etc.",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis   Specifying the Question,"Analysts in the city report being given very specific questions to answer BEFORE they are expected to conduct analysis,",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis   Questions you should be asking,Analysts report having the freedom and security to elevate or suggest questions worth answering to city leadership.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis   Questions you should be asking,"TS1. Has a designated process for conducting analysis, prep, and follow up for each Stat or performance management meeting",,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management   Hygeine,Analysts report a significant portion of their project time is dedicated to data hygeine prior to analysis being conducted.,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management   Hygeine,Mandate the use of unique identifiers,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management   Hygeine,Create processes to ensure data quality,,,,,,,,,,,,,,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management   Hygeine,Implementation guidance (Sunlight #24) includes a framework for data quality,,,,,,,,,,,,,,,
